gate	tier	verdict	seconds	exit	detail
classify	portable	PASS	1	0	
config	portable	PASS	0	0	
tier	portable	PASS	0	0	
static_runner	portable	PASS	3	0	
controls	portable	PASS	4	0	
sweep_runner	portable	PASS	54	0	
fingerprint	portable	PASS	2	0	
rulings_shape	portable	PASS	0	0	
readout	portable	PASS	2	0	
close_sweeps	portable	PASS	4	0	
temporal	portable	PASS	2	0	
thresholds	portable	PASS	1	0	
compare_dispatch	portable	PASS	0	0	
expectation_kinds	portable	PASS	1	0	
provenance	portable	PASS	0	0	
docset_fixture	portable	PASS	1	0	
docset_driver	portable	PASS	2	0	
set_schema	portable	PASS	5	0	
docset_suite	portable	PASS	41	0	
cli_fixture	portable	PASS	2	0	
cli_driver	portable	PASS	8	0	
band	portable	PASS	3	0	
json_schema	portable	PASS	5	0	
cli_suite	portable	PASS	67	0	
adapters	portable	PASS	42	0	
file_census_tool	portable	PASS	2	0	
census_register	portable	PASS	0	0	
registry_complete	portable	PASS	0	0	
